__run_id,__done,llm,language,problem,prompt,energy_usage_dram,energy_usage_package,energy_usage_pp0,energy_usage_pp1,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,cpu_usage_4,cpu_usage_5,cpu_usage_6,cpu_usage_7,cpu_usage_8,cpu_usage_9,cpu_usage_10,cpu_usage_11,memory_usage,execution_time,machine_code_size
run_0_repetition_0,DONE,ChatGPT,cpp,PS,OG,4625.215,37263.963,19383.216,5173.027,6.452,2.151,2.083,6.061,4.167,6.25,4.167,6.061,4.04,2.151,2.151,2.151,4908672341.333,201,"4021
"
run_1_repetition_0,DONE,ChatGPT,cpp,PS,EE,4628.096,37296.868,19405.9,5176.465,4.04,4.04,4.04,2.083,4.04,2.083,6.061,2.083,2.02,2.083,6.25,5.714,4848631808.0,200,"4016
"
run_2_repetition_0,TODO,ChatGPT,cpp,SR,OG, , , , , , , , , , , , , , , , , , , 
run_3_repetition_0,TODO,ChatGPT,cpp,SR,EE, , , , , , , , , , , , , , , , , , , 
run_4_repetition_0,DONE,ChatGPT,haskell,PS,OG,4634.813,37398.582,19484.585,5183.369,2.083,4.04,2.083,3.922,8.081,4.04,2.02,2.083,4.04,2.083,2.083,4.04,4773138432.0,200,"2100846
"
run_5_repetition_0,DONE,ChatGPT,haskell,PS,EE,4638.946,37483.384,19555.456,5187.179,4.04,4.04,8.081,4.04,4.04,4.04,4.04,4.04,4.04,4.167,0.0,2.083,4770342229.333,200,"2099953
"
run_6_repetition_0,TODO,ChatGPT,haskell,SR,OG, , , , , , , , , , , , , , , , , , , 
run_7_repetition_0,TODO,ChatGPT,haskell,SR,EE, , , , , , , , , , , , , , , , , , , 
run_8_repetition_0,DONE,Gemini,cpp,PS,OG,4644.543,37534.747,19587.388,5194.024,4.04,4.04,3.671,2.083,5.882,4.167,4.167,4.04,7.843,5.882,4.04,4.04,4790635178.667,200,"4048
"
run_9_repetition_0,DONE,Gemini,cpp,PS,EE,4647.407,37565.816,19608.601,5197.591,3.922,2.02,3.922,3.922,3.922,3.922,0.0,1.961,3.608,3.922,5.714,2.02,4817448960.0,201,"1459
"
run_10_repetition_0,TODO,Gemini,cpp,SR,OG, , , , , , , , , , , , , , , , , , , 
run_11_repetition_0,TODO,Gemini,cpp,SR,EE, , , , , , , , , , , , , , , , , , , 
run_12_repetition_0,DONE,Gemini,haskell,PS,OG,4653.449,37642.706,19664.712,5204.342,6.25,4.167,2.083,4.04,4.167,4.167,2.151,4.301,3.738,4.167,4.04,2.151,4751590741.333,200,"1250748
"
