__run_id,__done,llm,language,problem,prompt,energy_usage_dram,energy_usage_package,energy_usage_pp0,energy_usage_pp1,cpu_usage_0,cpu_usage_1,cpu_usage_2,cpu_usage_3,cpu_usage_4,cpu_usage_5,cpu_usage_6,cpu_usage_7,cpu_usage_8,cpu_usage_9,cpu_usage_10,cpu_usage_11,memory_usage,execution_time,machine_code_size
run_0_repetition_0,DONE,ChatGPT,cpp,PS,OG,2319.477,12969.002,5187.382,1906.928,9.804,7.302,5.714,5.714,5.714,7.302,7.619,5.714,5.714,5.714,5.882,3.922,2254979072.0,200,"4853
"
run_1_repetition_0,DONE,ChatGPT,cpp,PS,EE,2327.97,13018.776,5200.081,1907.697,7.619,5.882,8.081,5.882,5.882,6.061,4.04,5.882,5.882,13.333,2.083,5.882,2244319914.667,201,"4846
"
run_2_repetition_0,DONE,ChatGPT,cpp,SR,OG,2336.359,13066.685,5211.539,1908.458,7.407,5.556,5.714,5.714,5.556,9.804,7.407,5.556,5.714,5.714,5.714,5.714,2234387114.667,201,"1433
"
run_3_repetition_0,DONE,ChatGPT,cpp,SR,EE,2344.71,13113.752,5222.289,1909.17,5.628,7.619,6.061,7.619,5.714,12.613,7.619,5.882,5.882,5.882,4.04,7.619,2249850880.0,200,"1445
"
run_4_repetition_0,DONE,ChatGPT,haskell,PS,OG,2355.385,13194.986,5256.983,1909.916,6.061,13.709,7.843,6.061,6.061,11.061,7.843,4.167,6.061,7.648,6.061,5.882,2262186666.667,201,"2100663
"
run_5_repetition_0,DONE,ChatGPT,haskell,PS,EE,2366.1,13277.108,5292.228,1910.617,7.407,7.407,7.619,5.714,5.714,7.619,5.714,12.963,8.922,5.714,5.714,5.714,2236751872.0,201,"2100104
"
run_6_repetition_0,DONE,ChatGPT,haskell,SR,OG,2378.119,13378.929,5341.138,1911.336,12.834,5.714,5.882,7.407,5.628,3.922,5.882,5.714,3.922,5.882,7.407,7.407,2235636394.667,200,"3306900
"
run_7_repetition_0,DONE,ChatGPT,haskell,SR,EE,2390.088,13480.221,5389.773,1912.087,7.619,7.619,5.882,5.882,7.619,7.47,5.714,5.882,11.765,5.882,5.882,5.882,2257403904.0,201,"3307184
"
run_8_repetition_0,DONE,Gemini,cpp,PS,OG,2398.579,13529.225,5401.903,1912.782,5.714,12.944,5.714,7.302,5.882,7.407,5.714,7.407,5.882,7.407,7.407,5.714,2267254784.0,201,"4880
"
run_9_repetition_0,DONE,Gemini,cpp,PS,EE,2407.039,13577.859,5413.762,1913.532,5.714,5.714,7.302,5.882,7.407,7.407,5.714,11.429,5.714,7.407,9.009,9.009,2238185472.0,201,"4317
"
